SourceTable,SourceColumn,TargetTable,TargetColumn
PEOPLE,ID,UPMPERSON,PERSONID
PEOPLE,AGECERT,UPMPERSON,DOBVERIFIEDFG
PEOPLE,DATEDIED,UPMPERSON,DOD
PEOPLE,DOB,UPMPERSON,DOB
PEOPLE,FORENAME,UPMPERSON,FORENAMES
PEOPLE,FORENAME,UPMPERSON,UPPERFORENAMES
PEOPLE,INITIALS,UPMPERSON,FORENAMES
PEOPLE,INITIALS,UPMPERSON,UPPERFORENAMES
PEOPLE,MARRCERT,UPMPERSON,DOMVERIFIEDFG
PEOPLE,MARRDATE,UPMPERSON,DOM
PEOPLE,MSTA,UPMPERSON,MARITALSTATUSFG
PEOPLE,NINO,UPMPERSON,NINO
PEOPLE,NINO,UPMPERSON,NINOPREFIX
PEOPLE,POSTCODE,UPMPERSON,POSTCODE
PEOPLE,SEX,UPMPERSON,GENDERFG
PEOPLE,SPAD,UPMPERSON,STATERETDATE
PEOPLE,SURNAME,UPMPERSON,SURNAME
PEOPLE,SURNAME,UPMPERSON,UPPERSURNAME
PEOPLE,TITLE,UPMPERSON,TITLEFG
